File Name,Wt. mg,Sample,N%,N mg,N area,C%,C mg,C area
14-Jun-20171.prm,0.419,std 1,4.9219,0.0206,12.092,70.2867,0.2945,194.68
14-Jun-20172.prm,0.958,std 2,4.8011,0.046,18.1505,70.7583,0.6779,444.429
14-Jun-20173.prm,1.57,std 3,4.8353,0.0759,25.2948,70.518,1.1071,724.0833
14-Jun-20174.prm,3.179,std 4,4.8433,0.154,43.9332,70.557,2.243,1464.0678
14-Jun-20175.prm,25.394,Bp.E1.E.4.60-100.04_1hr,0.0736,0.0187,11.6316,0.9821,0.2494,165.2868
14-Jun-20176.prm,24.156,Bp.E1.E.3.60-100.04_1hr,0.0781,0.0189,11.6706,0.9753,0.2356,156.3009
14-Jun-20177.prm,25.152,Bp.E1.L.4.60-100.04,0.0834,0.021,12.1782,0.985,0.2478,164.2275
14-Jun-20178.prm,24.612,Bp.E1.L.3.60-100.04,0.082,0.0202,11.9869,0.9225,0.227,150.7329
14-Jun-20179.prm,28.465,Bp.E1.L.4.0-10.04,0.1671,0.0476,18.5284,2.2877,0.6512,427.0572
14-Jun-201710.prm,28.825,Bp.E1.L.3.0-10.04,0.1441,0.0415,17.0849,1.9623,0.5656,371.3177
14-Jun-201711.prm,29.059,Bp.E1.E.4.60-100.04_4hr,0.0827,0.024,12.9078,0.9961,0.2895,191.3905
14-Jun-201712.prm,26.701,Bp.E1.E.3.60-100.04_4hr,0.0874,0.0233,12.7385,0.9879,0.2638,174.6569
14-Jun-201713.prm,28.928,Bp.E1.E.4.60-100.04_0hr,0.0841,0.0243,12.9745,1.0116,0.2926,193.4607
14-Jun-201714.prm,26.745,Bp.E1.E.3.60-100.04_0hr,0.0865,0.0231,12.6919,0.9744,0.2606,172.5971
14-Jun-201715.prm,29.472,Bp.E1.E.4.0-10.04,0.1533,0.0452,17.9544,1.9819,0.5841,383.3446
14-Jun-201716.prm,25.108,Bp.E1.E.3.0-10.04,0.1654,0.0415,17.0821,2.5294,0.6351,416.564
14-Jun-201717.prm,25.108,blank1,0.0284,0.0071,8.87,0.0113,0.0028,1.8567
14-Jun-201718.prm,24.754,Cr.N.2.60-100,0.0939,0.0232,12.7175,0.8423,0.2085,138.6505
14-Jun-201719.prm,24.414,Cr.N.1.60-100,0.1007,0.0246,13.0356,0.9039,0.2207,146.587
14-Jun-201720.prm,27.13,Cr.N.2.0-10,0.2167,0.0588,21.2059,2.0237,0.549,360.4992
14-Jun-201721.prm,26.716,Cr.N.1.0-10,0.2136,0.0571,20.7914,1.974,0.5274,346.3875
14-Jun-201722.prm,1.722,std 5,5.788,0.0997,30.9674,70.8633,1.2203,797.7859
14-Jun-201723.prm,25.894,TM.N.2.60-100,0.0916,0.0237,12.8301,0.4578,0.1185,80.0512
14-Jun-201724.prm,27.096,TM.N.1.60-100,0.0987,0.0267,13.5537,0.5509,0.1493,100.075
14-Jun-201725.prm,25.362,TM.N.2.0-10,0.1431,0.0363,15.8367,1.0894,0.2763,182.8192
14-Jun-201726.prm,28.651,TM.N.1.0-10,0.1108,0.0317,14.7466,0.7847,0.2248,149.2935
14-Jun-201727.prm,25.218,Vg.N.1.B.0-10.16,0.3926,0.099,30.8078,5.0371,1.2703,830.3603
14-Jun-201728.prm,28.736,Vg.N.2.B.0-10.16,0.3355,0.0964,30.1917,4.2149,1.2112,791.8752
14-Jun-201729.prm,25.6,Vg.N.1.60-100.16,0.2034,0.0521,19.6013,2.2019,0.5637,370.0499
14-Jun-201730.prm,28.55,Vg.N.2.60-100.16,0.1742,0.0497,19.0421,1.7956,0.5126,336.7958
14-Jun-201731.prm,29.457,It.N.1.0-10.16,0.5364,0.158,44.8988,8.4219,2.4808,1619.0094
14-Jun-201732.prm,26.691,It.N.3.0-10.16,0.6414,0.1712,48.0504,9.5187,2.5406,1657.9629
14-Jun-201733.prm,27.221,It.N.TA.60-100.16,0.1448,0.0394,16.5795,1.3281,0.3615,238.3379
14-Jun-201734.prm,26.568,It.N.TB.60-100.16,0.1292,0.0343,15.3631,0.9947,0.2643,174.986
14-Jun-201735.prm,26.293,BO.P.2.60-100.16,0.1536,0.0404,16.8124,0.7055,0.1855,123.6606
14-Jun-201736.prm,26.293,blank 2,0.0949,0.025,13.1282,0.0074,0.0019,1.2669
14-Jun-201737.prm,28.034,BO.P.1.60-100.16,0.1301,0.0365,15.8789,0.5772,0.1618,108.245
14-Jun-201738.prm,29.202,BO.P.2.0-10.16,0.2159,0.063,22.2227,1.7898,0.5227,343.3164
14-Jun-201739.prm,26.99,BO.P.1.0-10.16,0.2297,0.062,21.9689,1.8459,0.4982,327.3876
14-Jun-201740.prm,25.603,JP.N.2.60-100.16,0.0992,0.0254,13.2298,0.3803,0.0974,66.2555
14-Jun-201741.prm,26.259,JP.N.1.60-100.16,0.112,0.0294,14.1897,0.347,0.0911,62.1906
14-Jun-201742.prm,28.12,JP.N.2.0-10.16,0.1115,0.0313,14.6524,0.4934,0.1388,93.2145
043.prm,26.132,JP.N.1.0-10.16,0.1137,0.0297,14.2643,0.5878,0.1536,102.8839
14-Jun-201744.prm,1.038,std 6,7.0661,0.0733,24.6818,70.8538,0.7355,481.9517
14-Jun-201745.prm,26.921,Cr.N.1.0-10_2,0.2286,0.0615,21.8639,1.9768,0.5322,349.5166
14-Jun-201746.prm,28.629,Cr.N.1.0-10_3,0.2239,0.0641,22.4759,1.9488,0.5579,366.2885
14-Jun-201747.prm,29.239,TM.N.1.0-10_2,0.1213,0.0355,15.6334,0.8667,0.2534,167.9079
14-Jun-201748.prm,24.93,TM.N.1.0-10_3,0.1501,0.0374,16.1042,0.8494,0.2117,140.7698
